granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,21.0,1,1,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.75,1,1,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,1,1,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,21.0,1,1,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,1,1,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,21.0,1,1,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.5,1,2,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.25,1,2,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.75,1,2,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,18.75,1,2,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,18.5,1,2,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,17.75,1,2,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,18.25,1,3,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.75,1,3,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.25,1,3,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,17.25,1,3,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,17.5,1,3,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,17.75,1,3,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.0,1,4,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.75,1,4,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.5,1,4,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.5,1,4,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,21.5,1,4,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,1,4,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.25,2,1,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,2,1,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,2,1,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,2,1,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.5,2,1,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.5,2,1,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.25,2,2,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.0,2,2,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.25,2,2,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.75,2,2,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.25,2,2,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.75,2,2,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.5,2,3,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.5,2,3,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.25,2,3,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.25,2,3,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,15.5,2,3,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,16.25,2,3,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.0,2,4,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.0,2,4,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,18.5,2,4,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,18.5,2,4,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.75,2,4,5,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.25,2,4,6,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.25,3,1,1,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,19.75,3,1,2,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,3,1,3,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-06 02:00:38,20.75,3,1,4,18.41,23.0,14.75,18.94,43.88,25.9,94.0,平房仓
