detection_time,detection_cycle,grid_x,grid_y,grid_z,temperature_grain,temperature_inside,temperature_outside,humidity_warehouse,humidity_outside,grain_type
2025-05-15 12:00:00,1,0,0,0,19.02,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,2,0,0,1,20.62,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,3,0,0,2,22.24,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,4,0,1,0,19.45,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,5,0,1,1,21.25,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,6,0,1,2,22.09,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,7,0,2,0,19.31,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,8,0,2,1,20.7,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,9,0,2,2,22.49,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,10,0,3,0,19.36,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,11,0,3,1,20.82,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,12,0,3,2,22.69,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,13,0,4,0,18.96,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,14,0,4,1,20.93,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,15,0,4,2,22.5,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,16,1,0,0,18.86,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,17,1,0,1,21.14,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,18,1,0,2,22.13,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,19,1,1,0,17.23,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,20,1,1,1,18.6,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,21,1,1,2,20.43,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,22,1,2,0,18.22,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,23,1,2,1,19.31,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,24,1,2,2,20.63,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,25,1,3,0,17.55,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,26,1,3,1,19.77,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,27,1,3,2,20.89,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,28,1,4,0,19.72,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,29,1,4,1,20.44,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,30,1,4,2,22.95,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,31,2,0,0,19.37,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,32,2,0,1,20.71,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,33,2,0,2,22.49,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,34,2,1,0,17.49,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,35,2,1,1,18.86,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,36,2,1,2,20.97,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,37,2,2,0,18.09,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,38,2,2,1,19.42,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,39,2,2,2,20.38,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,40,2,3,0,17.64,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,41,2,3,1,19.24,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,42,2,3,2,20.77,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,43,2,4,0,19.33,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,44,2,4,1,20.86,23.8,21.8,80.7,93.0,Mid-to-late indica rice
2025-05-15 12:00:00,45,2,4,2,22.06,23.8,21.8,80.7,93.0,Mid-to-late indica rice
